n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
60,6,2,7,44,49,19.5261,23,309,3.1212,381,10.0824,366
60,6,2,8,44,50,22.4549,23,308,3.5625,408,10.0842,392
60,6,2,9,44,51,18.9787,23,309,2.0205,393,10.0834,381
60,6,3,0,45,42,20.117,28,293,4.2723,442,10.0809,446
60,6,3,1,45,43,31.0114,28,291,3.5782,454,10.6534,440
60,6,3,2,45,44,27.7206,28,291,3.0247,452,10.0694,449
60,6,3,3,45,45,27.0786,28,291,3.3612,449,10.0754,452
60,6,3,4,45,46,17.3372,28,293,4.1269,446,10.0758,445
60,6,3,5,45,47,22.6508,28,291,3.2519,432,10.0735,449
60,6,3,6,45,48,25.3247,28,291,3.2707,446,10.09,449
60,6,3,7,45,49,18.876,28,293,4.1004,442,10.57,445
60,6,3,8,45,50,25.9663,28,291,3.7993,454,10.6152,458
60,6,3,9,45,51,28.2998,28,291,3.5146,448,10.085,449
60,6,4,0,46,42,16.7041,19,545,1.8721,367,10.0783,360
60,6,4,1,46,43,21.9583,19,550,1.6835,392,10.0889,382
60,6,4,2,46,44,15.9546,19,553,2.1929,396,10.0903,384
60,6,4,3,46,45,15.176,19,553,1.7787,391,10.6536,386
60,6,4,4,46,46,14.874,19,553,1.4816,377,10.0891,372
60,6,4,5,46,47,18.9973,19,543,1.8352,365,10.0774,362
60,6,4,6,46,48,20.692,19,543,1.9522,366,10.083,362
60,6,4,7,46,49,19.7597,19,550,1.7941,369,10.0779,369
60,6,4,8,46,50,16.1003,19,553,1.9932,374,10.6663,372
60,6,4,9,46,51,15.1817,19,553,2.1874,372,10.7861,370
120,3,0,0,42,42,201.2779,41,960,7.3236,1673,10.0691,1565
120,3,0,1,42,43,124.738,41,1055,8.3957,1685,10.9106,1583
120,3,0,2,42,44,158.4431,41,1036,7.8136,1655,10.073,1600
120,3,0,3,42,45,115.146,41,1050,7.0893,1713,10.0843,1561
120,3,0,4,42,46,129.0311,41,970,5.7662,1567,10.0768,1451
120,3,0,5,42,47,160.5498,41,999,6.9002,1711,10.7378,1672
120,3,0,6,42,48,134.9977,41,1027,7.1168,1712,10.074,1664
120,3,0,7,42,49,111.4188,41,1020,5.4824,1680,10.7422,1567
