n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
60,6,4,7,46,49,11.8693,19,1027,1.5695,346,10.0718,340
60,6,4,8,46,50,23.5487,19,1023,1.3254,359,10.076,354
60,6,4,9,46,51,19.702,19,1025,1.657,342,10.0751,339
120,3,0,0,42,42,133.5544,41,2592,6.5052,1580,11.9407,1491
120,3,0,1,42,43,153.3963,41,2702,6.5355,1670,11.9245,1593
120,3,0,2,42,44,67.9527,41,3104,4.1426,1750,10.0587,1713
120,3,0,3,42,45,135.6768,41,2554,4.4581,1641,11.9123,1537
120,3,0,4,42,46,144.4845,41,2616,6.1189,1496,10.0705,1443
120,3,0,5,42,47,22.5666,41,4108,7.2581,1660,10.0712,1592
120,3,0,6,42,48,145.2663,41,2706,6.0924,1650,10.0742,1586
120,3,0,7,42,49,138.3828,41,2693,6.0407,1670,11.891,1581
120,3,0,8,42,50,158.5698,41,2611,7.3806,1682,10.0536,1633
120,3,0,9,42,51,144.2842,41,2651,5.3174,1721,11.9529,1659
120,3,1,0,43,42,31.7333,40,1272,3.7561,977,10.0714,684
120,3,1,1,43,43,115.735,40,925,8.02,749,11.7709,641
120,3,1,2,43,44,184.107,40,945,5.0182,909,10.0786,648
120,3,1,3,43,45,136.1613,40,911,8.9761,767,11.8981,638
120,3,1,4,43,46,126.8565,40,945,10.77,785,12.3792,619
120,3,1,5,43,47,145.297,40,923,9.2699,716,10.0621,628
120,3,1,6,43,48,135.4612,40,932,8.8106,742,11.6561,609
120,3,1,7,43,49,62.3276,40,1149,7.0804,735,10.0805,539
120,3,1,8,43,50,161.5408,40,949,4.7608,917,11.1098,655
120,3,1,9,43,51,32.7832,40,1265,8.1822,912,10.0691,680
120,3,2,0,44,42,140.5804,40,2699,8.0839,1684,10.0765,1641
120,3,2,1,44,43,147.3803,40,2638,8.0868,1712,11.9334,1687
120,3,2,2,44,44,37.4924,40,3478,7.7098,1779,10.0598,1771
120,3,2,3,44,45,120.6614,40,2720,7.3697,1740,10.0774,1685
120,3,2,4,44,46,116.7937,40,2623,9.4864,1732,11.8648,1709
120,3,2,5,44,47,132.5334,40,2691,8.8107,1632,10.0752,1688
120,3,2,6,44,48,149.1381,40,2691,9.2315,1681,10.0769,1612
120,3,2,7,44,49,123.6068,40,2749,6.8745,1587,10.0668,1535
120,3,2,8,44,50,131.0833,40,2686,8.8586,1734,10.0667,1702
120,3,2,9,44,51,127.5868,40,2711,7.8402,1702,11.8791,1636
120,3,3,0,45,42,128.8147,42,2671,7.4699,1475,10.0653,1409
120,3,3,1,45,43,114.1038,42,2694,11.48,1562,10.0741,1482
120,3,3,2,45,44,137.1221,42,2689,8.8569,1546,12.0109,1508
120,3,3,3,45,45,122.8469,42,2658,9.2366,1357,10.0753,1261
