n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
60,3,1,3,43,45,7.3705,21,147,2.1288,201,10.0825,204
60,3,1,4,43,46,31.5696,21,87,1.8471,216,11.0973,210
60,3,1,5,43,47,29.2499,21,104,1.9465,198,10.0434,194
60,3,1,6,43,48,26.4346,21,97,2.9371,199,10.0788,195
60,3,1,7,43,49,25.9326,21,103,1.9962,221,10.0815,210
60,3,1,8,43,50,43.3981,21,104,2.0368,219,10.0869,221
60,3,1,9,43,51,26.8751,21,105,2.614,204,10.0732,200
60,3,2,0,44,42,16.8683,21,304,2.1401,487,10.0829,482
60,3,2,1,44,43,34.0449,21,226,2.1909,475,10.0815,472
60,3,2,2,44,44,29.8003,21,227,2.067,490,11.3468,485
60,3,2,3,44,45,15.3847,21,324,1.7569,469,11.3218,459
60,3,2,4,44,46,31.4181,21,222,3.4669,513,10.072,510
60,3,2,5,44,47,27.0058,21,270,2.744,415,10.0879,414
60,3,2,6,44,48,38.4144,21,234,2.4546,460,11.3242,457
60,3,2,7,44,49,36.3129,21,249,2.0047,430,10.0787,430
60,3,2,8,44,50,38.3348,21,219,2.0625,491,11.3093,487
60,3,2,9,44,51,29.1128,21,226,3.5926,464,10.087,463
60,3,3,0,45,42,37.8223,26,382,2.3329,720,10.0735,703
60,3,3,1,45,43,42.7065,26,362,3.2483,777,10.0568,761
60,3,3,2,45,44,11.998,26,514,4.5802,660,10.0655,678
60,3,3,3,45,45,32.2937,26,388,3.1759,708,10.0721,692
60,3,3,4,45,46,40.1428,26,383,4.6454,698,10.0759,688
60,3,3,5,45,47,32.1604,26,384,2.9498,748,10.074,745
60,3,3,6,45,48,38.6342,26,372,3.8948,731,10.9601,716
60,3,3,7,45,49,35.0956,26,385,4.1819,692,10.0743,682
60,3,3,8,45,50,9.4502,26,588,3.6858,731,10.0791,725
60,3,3,9,45,51,32.9342,26,377,3.987,724,10.0741,708
60,3,4,0,46,42,32.8113,19,236,2.6409,401,10.0794,397
60,3,4,1,46,43,12.5364,19,303,2.6677,408,10.0752,405
