n_of_job,n_of_family,problem,iteration,seed1,seed2,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
120,3,2,3,44,45,122.0307,40,1301,6.6365,1685,10.0721,1641
120,3,2,4,44,46,102.2947,40,1244,7.1155,1514,10.092,1468
120,3,2,5,44,47,120.9935,40,1282,7.4239,1511,10.0803,1488
120,3,2,6,44,48,124.4521,40,1255,7.2856,1467,10.0699,1483
120,3,2,7,44,49,85.7504,40,1283,8.5335,1505,10.0827,1473
120,3,2,8,44,50,148.4769,40,1194,5.8927,1489,10.0842,1414
120,3,2,9,44,51,138.9287,40,1271,6.3679,1520,10.0875,1533
120,3,3,0,45,42,125.2842,42,1205,8.1277,1538,10.0846,1408
120,3,3,1,45,43,132.055,42,1233,7.3989,1490,10.076,1415
120,3,3,2,45,44,97.5717,42,1223,7.386,1520,10.0803,1376
120,3,3,3,45,45,116.3559,42,1261,7.7282,1674,10.5621,1582
120,3,3,4,45,46,148.3358,42,1229,8.6723,1537,10.5286,1536
120,3,3,5,45,47,112.9998,42,1187,8.6571,1529,10.5194,1474
120,3,3,6,45,48,104.0088,42,1224,8.3491,1638,10.0695,1475
120,3,3,7,45,49,111.3472,42,1215,8.4567,1530,10.0813,1384
120,3,3,8,45,50,173.3101,42,1214,8.5467,1388,10.0757,1311
120,3,3,9,45,51,114.4802,42,1216,7.4113,1510,10.0731,1368
120,3,4,0,46,42,42.1647,35,1443,7.6264,1324,10.0755,1280
120,3,4,1,46,43,134.2596,35,804,7.9123,1417,10.0813,1346
120,3,4,2,46,44,110.0228,35,787,6.5179,1318,10.0806,1220
120,3,4,3,46,45,98.9646,34,1729,7.8752,1505,10.0751,1457
120,3,4,4,46,46,126.3634,34,1172,5.2188,1229,10.088,1203
120,3,4,5,46,47,35.8289,35,1467,7.8833,1254,10.0797,1255
120,3,4,6,46,48,170.5097,34,1154,5.0951,1368,10.086,1315
120,3,4,7,46,49,84.769,34,1738,6.0802,1437,10.0792,1388
120,3,4,8,46,50,70.7181,34,2334,7.219,1452,10.0766,1434
120,3,4,9,46,51,46.7779,35,1445,5.5453,1420,10.0786,1363
120,6,0,0,42,42,119.621,44,951,9.2543,1110,10.084,1066
120,6,0,1,42,43,117.1855,44,973,13.4232,1139,10.0752,1059
120,6,0,2,42,44,140.3765,44,982,7.3735,1120,10.0756,1026
120,6,0,3,42,45,95.8974,44,946,6.9587,1091,10.0788,1042
120,6,0,4,42,46,97.7975,44,947,7.1484,1089,10.083,1036
120,6,0,5,42,47,131.5116,44,956,9.5841,1188,10.0781,1079
120,6,0,6,42,48,106.7533,44,961,7.9872,1082,10.0894,1125
120,6,0,7,42,49,105.3344,44,944,9.5872,1135,10.6595,1083
120,6,0,8,42,50,124.7715,44,934,8.8835,1116,10.0845,1020
120,6,0,9,42,51,117.5442,44,941,9.2377,1119,10.0913,1036
120,6,1,0,43,42,106.4728,41,741,7.1783,913,10.0677,849
120,6,1,1,43,43,94.6819,41,731,8.6757,903,10.0764,812
120,6,1,2,43,44,96.2821,41,745,6.904,933,10.0648,858
120,6,1,3,43,45,100.9004,41,729,5.8967,917,10.0643,847
120,6,1,4,43,46,139.3744,41,728,7.8856,891,10.0853,835
120,6,1,5,43,47,103.9343,41,731,8.7753,869,10.091,845
120,6,1,6,43,48,104.2387,41,733,6.904,895,10.0874,837
120,6,1,7,43,49,105.2768,41,745,7.3356,931,10.0873,848
120,6,1,8,43,50,91.8977,41,735,6.8017,905,10.0683,871
120,6,1,9,43,51,105.3191,41,731,8.7071,926,10.0731,842
120,6,2,0,44,42,121.9282,45,891,12.3043,1318,10.0735,1236
120,6,2,1,44,43,152.8034,45,881,8.9775,1334,10.657,1217
120,6,2,2,44,44,138.6577,45,866,10.165,1300,10.0782,1195
120,6,2,3,44,45,146.0278,45,859,5.8395,1375,10.0753,1201
120,6,2,4,44,46,76.9322,45,1111,9.681,1333,10.077,1248
120,6,2,5,44,47,134.2796,45,866,12.0237,1303,10.0795,1181
120,6,2,6,44,48,123.4003,45,878,8.2098,1258,10.0817,1192
120,6,2,7,44,49,165.8235,45,859,8.8828,1274,10.0736,1160
120,6,2,8,44,50,139.2853,45,886,9.6666,1243,10.0737,1178
120,6,2,9,44,51,175.9609,45,871,10.7289,1328,10.0876,1231
120,6,3,0,45,42,157.4558,42,1377,9.0599,1471,10.083,1312
120,6,3,1,45,43,154.8927,42,1369,8.8637,1375,10.6823,1319
120,6,3,2,45,44,138.9556,42,1382,8.0091,1367,10.0714,1290
120,6,3,3,45,45,175.0564,42,1361,10.1335,1412,10.0819,1313
120,6,3,4,45,46,121.8492,42,1375,7.9667,1440,10.5109,1415
120,6,3,5,45,47,130.0152,42,1385,9.0218,1410,10.0837,1365
120,6,3,6,45,48,74.6466,42,1569,7.6782,1331,10.09,1377
120,6,3,7,45,49,147.7623,42,1414,7.2874,1394,10.0618,1331
120,6,3,8,45,50,149.1076,42,1387,9.0263,1349,10.0797,1283
120,6,3,9,45,51,124.0504,42,1358,9.0264,1430,10.6672,1365
120,6,4,0,46,42,111.1373,37,1520,6.7475,1459,10.7001,1423
120,6,4,1,46,43,107.1557,37,1573,7.5604,1579,10.0859,1558
120,6,4,2,46,44,107.0691,37,1566,8.8699,1478,10.0739,1436
120,6,4,3,46,45,116.3487,37,1509,7.0391,1462,10.5004,1421
120,6,4,4,46,46,134.2279,37,1515,7.5446,1515,10.0769,1459
120,6,4,5,46,47,108.037,37,1552,7.4009,1518,10.0701,1466
120,6,4,6,46,48,104.733,37,1519,7.262,1537,10.087,1422
120,6,4,7,46,49,108.7087,37,1516,7.3249,1473,10.0822,1432
120,6,4,8,46,50,97.2247,37,1571,6.7374,1507,10.0905,1449
120,6,4,9,46,51,120.207,37,1502,6.8328,1475,10.5888,1405
