n_of_job,n_of_family,problem,iteration,seed1,seed2,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness
120,3,0,8,42,50,24.2701,41,2251,24.215,41,2251,183.4391,41,1394
120,3,0,9,42,51,25.011,41,2251,20.4414,41,2251,156.1428,41,1341
120,3,0,10,42,52,20.4521,41,2251,148.604,41,1348,189.0477,41,1340
120,3,0,11,42,53,19.7976,41,2251,132.3143,41,1437,167.6746,41,1334
120,3,0,12,42,54,20.7159,41,2251,139.2202,41,1379,146.1789,41,1387
120,3,0,13,42,55,19.6463,41,2251,21.1264,41,2251,187.374,41,1334
120,3,0,14,42,56,25.4838,41,2251,148.1863,41,1334,169.4297,41,1389
120,3,0,15,42,57,20.1014,41,2251,151.0969,41,1380,135.843,41,1389
120,3,0,16,42,58,24.2478,41,2251,133.6591,41,1372,150.4571,41,1419
120,3,0,17,42,59,25.1113,41,2251,124.9788,41,1368,148.4093,41,1366
120,3,0,18,42,60,19.4717,41,2251,117.0117,41,1383,168.8488,41,1331
120,3,0,19,42,61,19.3078,41,2251,21.0942,41,2251,151.2254,41,1347
120,3,0,20,42,62,21.062,41,2251,203.3643,41,1332,155.0345,41,1291
120,3,0,21,42,63,24.7076,41,2251,24.1021,41,2251,142.0713,41,1415
120,3,0,22,42,64,22.1062,41,2251,132.5153,41,1321,181.1936,41,1415
120,3,0,23,42,65,21.0936,41,2251,19.628,41,2251,160.9531,41,1333
120,3,0,24,42,66,25.2641,41,2251,134.3397,41,1333,187.0733,41,1345
120,3,0,25,42,67,26.1957,41,2251,148.7391,41,1366,150.9802,41,1440
120,3,0,26,42,68,25.8687,41,2251,127.8418,41,1353,167.0437,41,1327
120,3,0,27,42,69,25.9019,41,2251,166.7039,41,1335,190.2354,41,1356
120,3,0,28,42,70,20.0387,41,2251,26.2383,41,2251,41.9514,41,2251
120,3,0,29,42,71,24.396,41,2251,20.9588,41,2251,215.5068,41,1288
120,6,3,0,45,42,38.8393,42,2515,205.4901,42,1451,198.5008,42,1431
120,6,3,1,45,43,48.2339,42,2592,156.6863,42,1388,221.1127,42,1458
120,6,3,2,45,44,101.7955,42,2322,77.2055,42,1898,215.2505,42,1525
120,6,3,3,45,45,41.417,43,2361,214.1809,42,1381,164.4913,42,1436
120,6,3,4,45,46,82.6318,42,2130,71.5429,42,1707,259.6371,42,1449
120,6,3,5,45,47,80.2531,42,2275,220.9264,42,1413,213.0724,42,1426
120,6,3,6,45,48,33.3588,42,2445,176.4944,42,1387,146.7903,42,1448
120,6,3,7,45,49,122.5799,42,2046,169.9929,42,1385,255.0362,42,1389
120,6,3,8,45,50,73.961,42,2370,188.7089,42,1425,226.0681,42,1377
120,6,3,9,45,51,64.2993,42,2579,51.7593,42,1988,227.6292,42,1405
120,6,3,10,45,52,101.6639,42,2235,168.8519,42,1437,242.6125,42,1336
120,6,3,11,45,53,30.6316,43,2320,252.4369,42,1407,222.761,42,1351
120,6,3,12,45,54,77.0537,42,2318,154.7017,42,1419,181.1755,42,1396
120,6,3,13,45,55,107.0933,42,2348,170.0536,42,1431,195.8937,42,1464
120,6,3,14,45,56,63.3338,42,2382,192.9452,42,1421,218.7078,42,1399
120,6,3,15,45,57,65.6925,42,2271,78.2912,42,2011,197.0684,42,1435
120,6,3,16,45,58,59.347,42,2443,189.6136,42,1401,219.1369,42,1470
120,6,3,17,45,59,52.0326,42,2528,205.9075,42,1421,170.7225,42,1447
120,6,3,18,45,60,56.9102,42,2764,62.511,42,2287,197.6958,42,1359
120,6,3,19,45,61,45.6714,42,2464,208.6712,42,1365,230.277,42,1415
120,6,3,20,45,62,71.4297,42,2163,121.4694,42,1524,60.6285,42,2016
120,6,3,21,45,63,24.8114,42,2805,180.8796,42,1433,238.4566,42,1378
120,6,3,22,45,64,116.0282,42,2337,173.7517,42,1417,56.8148,42,2160
120,6,3,23,45,65,79.8087,42,2238,58.7277,42,2150,146.2763,42,1375
120,6,3,24,45,66,36.5531,42,2469,70.048,42,2028,206.1416,42,1412
120,6,3,25,45,67,43.0049,42,2624,225.1365,42,1409,158.6101,42,1514
120,6,3,26,45,68,88.5002,42,2028,203.3287,42,1398,166.6477,42,1432
120,6,3,27,45,69,129.3219,42,2182,165.1833,42,1375,183.2918,42,1422
120,6,3,28,45,70,29.7587,42,2609,140.2788,42,1416,243.4243,42,1463
120,6,3,29,45,71,81.4092,42,2335,88.6914,42,1606,315.9336,42,1391
