n_of_job,n_of_family,problem,iteration,seed1,seed2,RKGA_P1_time,RKGA_P1_bin,RKGA_P1_fitness,RKGA_P2_time,RKGA_P2_fitness,BRKGA_P1_time,BRKGA_P1_bin,BRKGA_P1_fitness,BRKGA_P2_time,BRKGA_P2_fitness,OBRKGA_P1_time,OBRKGA_P1_bin,OBRKGA_P1_fitness,OBRKGA_P2_time,OBRKGA_P2_fitness,OBRKGA_CP_time,OBRKGA_CP_fitness
30,6,1,3,43,45,3.7498,12,76,0.8839,71,3.4063,12,76,4.1201,71,3.4624,12,76,0.8542,71,2.2909,69
30,6,1,4,43,46,3.3348,12,76,0.9089,71,3.0171,12,76,0.8147,71,3.371,12,76,0.8299,71,2.1276,69
30,6,1,5,43,47,3.3044,12,76,0.8756,71,3.6859,12,76,0.7743,71,6.5772,12,76,1.3057,71,2.5328,69
30,6,1,6,43,48,3.2951,12,76,1.1594,71,3.2798,12,76,1.3078,71,3.3534,12,76,0.8441,71,1.9873,69
30,6,1,7,43,49,3.0946,12,76,1.0205,71,2.9758,12,76,0.9062,71,3.2074,12,76,0.9727,71,5.4154,69
30,6,1,8,43,50,3.4951,12,76,1.1995,71,3.0929,12,76,0.8016,71,3.0091,12,76,0.9622,71,2.1671,69
30,6,1,9,43,51,3.378,12,76,0.7798,71,3.4669,12,76,0.7939,72,3.2253,12,76,0.7716,72,2.2988,69
30,6,2,0,44,42,7.5065,15,104,0.93,99,3.3107,15,104,0.8866,99,3.7373,15,104,0.939,99,5.4234,94
30,6,2,1,44,43,4.0667,15,104,0.9572,99,3.9027,15,104,0.8552,99,7.0942,15,104,0.9788,99,6.0967,94
30,6,2,2,44,44,4.1463,15,104,0.986,99,3.7287,15,104,0.9432,99,3.9065,15,104,1.0069,99,7.8698,94
30,6,2,3,44,45,7.4261,15,104,1.128,99,4.263,15,104,0.8834,99,4.6342,15,104,0.9995,99,5.7717,94
30,6,2,4,44,46,3.9539,15,104,1.2577,99,3.8699,15,104,0.8734,99,4.0211,15,104,0.998,99,8.4282,94
30,6,2,5,44,47,4.3943,15,104,5.3378,99,4.2774,15,104,0.9524,99,3.7388,15,104,0.9067,99,6.6424,94
30,6,2,6,44,48,5.0245,15,104,0.8642,99,4.1259,15,104,0.9238,99,3.6044,15,104,4.0011,99,5.9913,94
30,6,2,7,44,49,4.4242,15,104,0.9715,99,4.1814,15,104,0.8883,99,4.1227,15,104,0.8711,99,5.7087,94
30,6,2,8,44,50,4.4168,15,104,4.1248,99,4.5799,15,104,0.9318,99,3.4935,15,104,0.9059,99,6.5141,94
30,6,2,9,44,51,4.4259,15,104,0.9906,99,3.9917,15,104,0.9203,99,4.3269,15,104,4.0884,99,5.4449,94
30,6,3,0,45,42,3.7407,15,103,1.3456,93,3.5928,15,103,1.1845,93,3.709,15,103,1.3785,93,10.0756,89
30,6,3,1,45,43,6.2811,15,103,1.3703,92,3.1479,15,103,1.2594,93,4.0577,15,103,1.1747,93,10.0704,89
30,6,3,2,45,44,3.9139,15,103,1.2986,92,7.0662,15,103,1.1721,92,3.6909,15,103,1.1952,93,10.0701,89
30,6,3,3,45,45,3.6542,15,103,0.8461,92,4.0403,15,103,1.2569,93,4.3563,15,103,1.1217,93,13.2275,89
30,6,3,4,45,46,4.5821,15,103,1.3986,92,3.668,15,103,1.263,92,3.689,15,103,1.3111,93,13.2355,89
30,6,3,5,45,47,3.3242,15,103,1.487,92,3.5238,15,103,1.5227,93,3.9655,15,103,1.1692,93,10.0747,90
30,6,3,6,45,48,3.9917,15,103,4.6659,92,3.6141,15,103,1.2317,93,3.5109,15,103,1.4103,92,10.0784,89
30,6,3,7,45,49,3.4525,15,103,1.6034,92,3.6987,15,103,1.4018,92,6.6579,15,103,1.0126,93,10.0599,89
30,6,3,8,45,50,3.4549,15,103,1.5196,92,3.247,15,103,1.0164,93,3.6343,15,103,1.327,92,13.3111,90
30,6,3,9,45,51,3.7259,15,103,1.5576,93,3.395,15,103,1.2477,92,3.8551,15,103,1.2625,92,10.0639,90
30,6,4,0,46,42,7.3031,10,127,0.6075,127,3.7888,10,127,0.5939,127,3.0371,10,127,0.6368,127,0.7531,127
